moment,emp,fit,diff
scoring_rate_Q1,0.08702978938991845,0.08158574631496406,-0.005444043074954399
prec_rate_Q1,0.04081216406723675,0.04003752775617945,-0.0007746363110573001
bid_rate_Q1,0.947750691371669,0.9475987362387358,-0.0001519551329332014
scoring_rate_Q2,0.04171835442437048,0.0472933896465332,0.005575035222162718
prec_rate_Q2,0.08474058257032736,0.0860926159923314,0.0013520334220040314
bid_rate_Q2,0.9489437160123582,0.9492268145938907,0.000283098581532526
scoring_rate_Q3,0.02808388026398602,0.032198888691569685,0.004115008427583666
prec_rate_Q3,0.10326861119354327,0.10633393403159994,0.003065322838056661
bid_rate_Q3,0.9453483699916592,0.9459498268008737,0.0006014568092145289
scoring_rate_Q4,0.017809265569152095,0.01462674806850803,-0.0031825175006440654
prec_rate_Q4,0.18686433452871848,0.18358366721240452,-0.003280667316313962
bid_rate_Q4,0.9421655997202725,0.9414359461722354,-0.0007296535480371125
diff2009_scoring_rate,-0.06635175405571406,-0.06447724356119552,0.0018745104945185331
diff2009_prec_rate,0.11608974266592165,0.1117747233880999,-0.004315019277821741
diff2009_bid_rate,0.0050622868170017155,0.005329838381030516,0.00026755156402880065
diff2014_scoring_rate,-0.06575302465351981,-0.06554299103683726,0.0002100336166825506
diff2014_prec_rate,0.1098002196054225,0.10565499086925162,-0.004145228736170875
diff2014_bid_rate,0.01262805159499647,0.013099215321990876,0.0004711637269944058
diff2023_scoring_rate,-0.04789549132622205,-0.044158682582517504,0.0037368087437045436
diff2023_prec_rate,0.13127033226735438,0.13063324831055484,-0.000637083956799539
diff2023_bid_rate,0.008657964135312612,0.007534565006397265,-0.0011233991289153478
